,ProjectID,score,Project Title,Description,Android Development,Web Development,Machine Learning,Data Mining,Marketing,Integration,Content Writing,Database Management,data structures & Algorithms,UI developement,Backend Development,Deep Learning,AWS,Testing & Debugging,photoshop,SEO
19,PID20,3.195235276222229,def,Dummy desc 2,5,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0
6,PID7,2.6,Abc,Dummy desc 1,5,0,0,0,0,0,0,2,0,4,0,0,0,0,4,0
8,PID9,2.006526255607605,ghi,Dummy desc 3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3,PID4,1.7046649442778694,Abc,Dummy desc 1,0,0,0,0,0,0,0,0,0,5,3,0,0,4,0,0
2,PID3,1.587165656354692,ghi,Dummy desc 3,0,3,0,0,0,0,0,0,0,4,4,0,0,4,0,0
4,PID5,1.5488722138934665,def,Dummy desc 2,0,0,4,0,0,0,0,0,0,4,2,5,0,5,0,0
7,PID8,1.397111781438192,def,Dummy desc 2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,PID2,1.1781801064809163,def,Dummy desc 2,0,5,0,0,0,0,0,0,0,3,2,0,0,3,0,0
17,PID18,1.1214276949564617,ghi,Dummy desc 3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0
9,PID10,1.1161821683247883,Abc,Dummy desc 1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0
